GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",ORL vs. MIL,W,5,5,1,0,0,0,1
"Apr 10, 2024",ORL @ MIL,L,22,5,0,1,0,0,1
"Apr 09, 2024",ORL @ HOU,L,2,0,0,0,0,0,0
"Apr 07, 2024",ORL vs. CHI,W,1,0,0,0,0,0,1
"Mar 30, 2024",ORL vs. MEM,W,12,2,0,0,1,0,0
"Mar 27, 2024",ORL vs. GSW,L,15,6,1,1,0,0,0
"Mar 21, 2024",ORL vs. NOP,W,5,2,1,1,0,1,1
"Mar 19, 2024",ORL vs. CHA,W,9,2,1,1,0,1,0
"Mar 17, 2024",ORL vs. TOR,W,3,2,0,0,1,0,0
"Mar 13, 2024",ORL vs. BKN,W,2,0,0,1,0,1,0
"Mar 10, 2024",ORL vs. IND,L,11,2,2,0,1,0,1
"Mar 08, 2024",ORL @ NYK,L,23,0,2,0,0,0,1
"Mar 06, 2024",ORL @ WAS,W,22,8,1,2,2,0,0
"Mar 05, 2024",ORL @ CHA,W,28,10,5,1,0,0,1
"Mar 03, 2024",ORL vs. DET,W,3,3,1,0,0,0,0
"Feb 27, 2024",ORL vs. BKN,W,22,8,4,1,2,0,1
"Feb 25, 2024",ORL @ ATL,L,27,4,8,1,0,0,3
"Feb 24, 2024",ORL @ DET,W,22,5,2,0,1,1,0
"Feb 22, 2024",ORL @ CLE,W,24,9,3,2,0,0,1
"Feb 14, 2024",ORL vs. NYK,W,23,4,2,2,1,0,1
"Feb 13, 2024",ORL vs. OKC,L,2,1,0,0,0,0,1
"Feb 08, 2024",ORL vs. SAS,W,3,0,0,2,0,0,0
"Feb 06, 2024",ORL @ MIA,L,3,0,1,0,0,0,1
"Feb 04, 2024",ORL @ DET,W,0,0,0,0,0,0,0
"Jan 31, 2024",ORL @ SAS,W,17,2,0,1,0,0,0
"Jan 29, 2024",ORL @ DAL,L,30,20,3,1,0,1,1
"Jan 28, 2024",ORL vs. PHX,W,13,4,1,1,0,1,0
"Jan 26, 2024",ORL @ MEM,L,27,2,3,1,0,0,1
"Jan 22, 2024",ORL vs. CLE,L,18,7,1,2,1,0,0
"Jan 21, 2024",ORL vs. MIA,W,14,6,0,1,0,0,1
"Jan 19, 2024",ORL vs. PHI,L,13,7,3,3,0,1,0
"Jan 17, 2024",ORL @ ATL,L,0,0,0,0,0,0,0
"Jan 13, 2024",ORL @ OKC,L,33,13,4,1,1,1,1
"Jan 12, 2024",ORL @ MIA,L,9,1,3,1,1,0,0
"Jan 09, 2024",ORL vs. MIN,L,21,3,1,4,3,1,2
"Jan 07, 2024",ORL vs. ATL,W,12,0,0,0,1,0,1
"Jan 05, 2024",ORL @ DEN,W,5,0,0,1,0,0,0
"Jan 03, 2024",ORL @ SAC,L,25,9,2,4,0,0,1
"Jan 02, 2024",ORL @ GSW,L,13,0,0,0,1,0,1
"Dec 31, 2023",ORL @ PHX,L,22,2,2,0,0,0,2
"Dec 29, 2023",ORL vs. NYK,W,29,4,6,5,2,0,1
"Dec 27, 2023",ORL vs. PHI,L,23,3,4,4,1,1,0
"Dec 26, 2023",ORL @ WAS,W,33,23,6,1,4,0,5
"Dec 23, 2023",ORL @ IND,W,28,8,3,2,1,1,2
"Dec 21, 2023",ORL @ MIL,L,20,1,2,1,1,2,1
"Dec 20, 2023",ORL vs. MIA,L,22,4,2,4,0,0,0
"Dec 17, 2023",ORL @ BOS,L,17,5,2,3,1,0,0
"Dec 15, 2023",ORL @ BOS,L,28,13,9,4,0,0,0
"Dec 11, 2023",ORL vs. CLE,W,19,0,1,0,3,1,1
"Dec 08, 2023",ORL vs. DET,W,25,6,5,3,0,0,1
"Dec 06, 2023",ORL @ CLE,L,15,11,0,0,0,0,0
"Dec 02, 2023",ORL @ BKN,L,19,2,3,1,0,0,0
"Dec 01, 2023",ORL vs. WAS,W,23,6,2,3,0,1,1
"Nov 29, 2023",ORL vs. WAS,W,27,7,5,3,0,1,2
"Nov 26, 2023",ORL vs. CHA,W,15,2,0,3,0,0,0
"Nov 24, 2023",ORL vs. BOS,W,6,0,1,0,0,0,1
"Nov 22, 2023",ORL vs. DEN,W,15,0,1,1,0,0,3
"Nov 21, 2023",ORL vs. TOR,W,23,5,5,1,1,0,0
"Nov 19, 2023",ORL @ IND,W,24,7,5,1,0,2,2
"Nov 17, 2023",ORL @ CHI,W,11,2,0,0,0,0,3
"Nov 15, 2023",ORL @ CHI,W,27,7,4,2,0,0,2
"Nov 14, 2023",ORL @ BKN,L,19,2,0,1,0,0,1
"Nov 11, 2023",ORL vs. MIL,W,28,2,0,3,0,0,1
"Nov 09, 2023",ORL vs. ATL,L,17,9,3,1,1,1,1
"Nov 06, 2023",ORL vs. DAL,L,33,8,5,2,0,0,1
"Nov 04, 2023",ORL vs. LAL,W,30,11,4,2,1,0,0
"Nov 02, 2023",ORL @ UTA,W,16,9,3,1,2,0,1
"Oct 31, 2023",ORL @ LAC,L,4,0,0,1,0,0,0
"Oct 25, 2023",ORL vs. HOU,W,5,5,0,1,0,2,0
