GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",TOR @ NYK,L,26,9,6,2,1,1,1
"Apr 08, 2022",TOR vs. HOU,W,12,8,1,0,0,1,2
"Apr 07, 2022",TOR vs. PHI,W,40,20,4,2,1,1,5
"Apr 05, 2022",TOR vs. ATL,W,24,11,2,0,1,0,0
"Apr 03, 2022",TOR vs. MIA,L,21,3,2,1,0,0,1
"Apr 01, 2022",TOR @ ORL,W,16,11,3,1,0,0,0
"Mar 30, 2022",TOR vs. MIN,W,22,13,4,1,1,0,1
"Mar 28, 2022",TOR vs. BOS,W,28,7,8,0,0,4,1
"Mar 26, 2022",TOR vs. IND,W,24,18,6,4,1,0,0
"Mar 24, 2022",TOR vs. CLE,W,22,10,4,1,0,0,0
"Mar 21, 2022",TOR @ CHI,L,28,6,9,1,0,0,1
"Mar 20, 2022",TOR @ PHI,W,34,21,9,1,0,0,0
"Mar 18, 2022",TOR vs. LAL,L,36,18,5,1,0,0,3
"Mar 16, 2022",TOR @ LAC,W,27,11,6,2,0,1,4
"Mar 14, 2022",TOR @ LAL,W,33,10,11,2,2,2,1
"Mar 12, 2022",TOR @ DEN,W,21,15,4,0,0,0,2
"Mar 11, 2022",TOR @ PHX,W,16,11,7,0,1,0,2
"Mar 09, 2022",TOR @ SAS,W,21,13,3,1,0,0,2
"Mar 06, 2022",TOR @ CLE,L,21,8,6,0,2,0,1
"Mar 04, 2022",TOR vs. ORL,L,23,11,6,1,0,2,1
"Mar 03, 2022",TOR vs. DET,L,28,18,7,0,0,0,1
"Mar 01, 2022",TOR vs. BKN,W,18,4,7,0,0,0,2
"Feb 28, 2022",TOR @ BKN,W,24,20,8,4,0,0,2
"Feb 26, 2022",TOR @ ATL,L,30,21,9,2,1,0,2
"Feb 25, 2022",TOR @ CHA,L,24,9,5,0,2,1,2
"Feb 16, 2022",TOR @ MIN,W,21,11,6,1,0,0,0
"Feb 14, 2022",TOR @ NOP,L,15,6,5,1,0,0,1
"Feb 12, 2022",TOR vs. DEN,L,11,0,1,0,0,0,0
"Feb 10, 2022",TOR @ HOU,W,14,6,4,2,0,1,2
"Feb 09, 2022",TOR @ OKC,W,19,4,7,1,1,0,0
"Feb 07, 2022",TOR @ CHA,W,15,5,4,1,1,0,2
"Feb 04, 2022",TOR vs. ATL,W,19,10,3,0,0,1,1
"Feb 03, 2022",TOR vs. CHI,W,18,5,11,1,0,1,0
"Feb 01, 2022",TOR vs. MIA,W,19,12,7,1,1,1,2
"Jan 31, 2022",TOR @ ATL,W,18,7,4,1,0,0,0
"Jan 29, 2022",TOR @ MIA,W,16,8,3,0,0,2,0
"Jan 26, 2022",TOR @ CHI,L,23,3,6,0,1,0,1
"Jan 25, 2022",TOR vs. CHA,W,25,9,7,3,0,0,2
"Jan 23, 2022",TOR vs. POR,L,15,3,2,0,0,0,0
"Jan 21, 2022",TOR @ WAS,W,19,5,5,0,0,0,0
"Jan 19, 2022",TOR @ DAL,L,33,12,5,0,0,0,2
"Jan 17, 2022",TOR @ MIA,L,37,6,15,1,1,1,0
"Jan 15, 2022",TOR @ MIL,W,39,14,10,2,1,3,2
"Jan 14, 2022",TOR @ DET,L,25,4,8,0,0,1,1
"Jan 11, 2022",TOR vs. PHX,L,22,6,6,0,2,0,0
"Jan 09, 2022",TOR vs. NOP,W,27,6,9,0,1,2,1
"Jan 07, 2022",TOR vs. UTA,W,18,9,5,0,1,1,0
"Jan 05, 2022",TOR @ MIL,W,16,6,8,3,1,0,0
"Jan 04, 2022",TOR vs. SAS,W,19,10,4,1,1,1,2
"Jan 02, 2022",TOR vs. NYK,W,18,2,5,3,0,1,3
"Dec 31, 2021",TOR vs. LAC,W,9,4,3,0,0,0,0
"Dec 18, 2021",TOR vs. GSW,W,23,17,5,0,1,0,2
"Dec 05, 2021",TOR vs. WAS,W,31,10,14,2,1,0,2
"Dec 02, 2021",TOR vs. MIL,W,35,6,8,2,1,2,1
"Nov 30, 2021",TOR vs. MEM,L,29,5,5,0,0,0,1
"Nov 28, 2021",TOR vs. BOS,L,36,6,9,1,0,0,2
"Nov 26, 2021",TOR @ IND,L,33,9,7,2,0,0,1
"Nov 24, 2021",TOR @ MEM,W,28,17,4,2,1,0,0
"Nov 21, 2021",TOR @ GSW,L,26,12,8,3,0,0,0
"Nov 19, 2021",TOR @ SAC,W,25,6,5,2,0,0,1
"Nov 11, 2021",TOR @ PHI,W,30,4,9,2,2,3,1
"Nov 10, 2021",TOR @ BOS,L,25,3,9,3,1,3,1
"Nov 07, 2021",TOR vs. BKN,L,27,13,8,0,1,1,0
"Nov 05, 2021",TOR vs. CLE,L,18,5,8,0,0,0,1
"Nov 03, 2021",TOR @ WAS,W,26,6,10,4,0,1,2
"Nov 01, 2021",TOR @ NYK,W,17,2,9,1,1,0,2
"Oct 30, 2021",TOR @ IND,W,17,4,3,1,0,1,2
"Oct 29, 2021",TOR vs. ORL,W,21,8,6,1,0,0,2
"Oct 27, 2021",TOR vs. IND,W,27,10,6,0,1,1,0
"Oct 25, 2021",TOR vs. CHI,L,29,11,11,2,0,0,2
"Oct 23, 2021",TOR vs. DAL,L,33,10,12,3,0,0,1
"Oct 22, 2021",TOR @ BOS,W,25,15,15,0,1,0,0
"Oct 20, 2021",TOR vs. WAS,L,19,6,7,2,1,0,1
