GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 03, 2022",IND vs. DET,L,9,6,1,1,0,2,1
"Apr 01, 2022",IND @ BOS,L,32,13,4,3,0,1,2
"Mar 30, 2022",IND vs. DEN,L,33,17,10,3,1,2,3
"Mar 28, 2022",IND vs. ATL,L,30,14,5,4,1,2,1
"Mar 24, 2022",IND @ MEM,L,30,14,4,0,1,2,1
"Mar 23, 2022",IND vs. SAC,L,29,20,9,2,1,1,2
"Mar 20, 2022",IND vs. POR,W,24,12,2,3,0,0,0
"Mar 18, 2022",IND @ HOU,W,26,23,9,3,3,1,1
"Mar 12, 2022",IND @ SAS,W,20,10,7,2,0,4,0
"Mar 08, 2022",IND vs. CLE,L,18,15,9,3,1,1,1
"Mar 06, 2022",IND @ WAS,L,24,20,6,0,0,0,1
"Mar 02, 2022",IND @ ORL,W,3,0,1,0,0,0,1
"Feb 28, 2022",IND @ ORL,L,21,11,3,2,0,2,1
"Feb 27, 2022",IND vs. BOS,W,16,2,5,2,0,0,2
"Feb 25, 2022",IND vs. OKC,L,1,0,1,0,0,0,0
"Feb 15, 2022",IND @ MIL,L,25,12,6,4,0,0,1
"Feb 13, 2022",IND vs. MIN,L,19,7,3,3,0,2,2
"Feb 11, 2022",IND vs. CLE,L,10,0,1,1,1,1,1
"Feb 08, 2022",IND @ ATL,L,30,14,2,2,2,3,1
"Feb 06, 2022",IND @ CLE,L,16,4,2,0,0,0,3
"Jan 28, 2022",IND @ OKC,W,2,0,1,0,0,1,2
"Jan 26, 2022",IND vs. CHA,L,19,17,6,2,0,0,3
"Jan 24, 2022",IND @ NOP,L,22,12,5,3,0,0,3
"Jan 22, 2022",IND @ PHX,L,35,16,11,2,0,1,1
"Jan 20, 2022",IND @ GSW,W,31,13,9,5,0,1,2
"Jan 19, 2022",IND @ LAL,W,3,3,1,0,0,2,1
"Jan 17, 2022",IND @ LAC,L,25,17,8,2,0,2,1
"Jan 14, 2022",IND vs. PHX,L,1,0,0,0,0,0,0
"Jan 12, 2022",IND vs. BOS,L,5,4,0,0,0,0,0
"Dec 31, 2021",IND vs. CHI,L,5,0,2,0,0,0,0
"Dec 23, 2021",IND vs. HOU,W,11,6,2,0,0,1,2
"Dec 21, 2021",IND @ MIA,L,7,2,0,0,0,0,0
"Dec 16, 2021",IND vs. DET,W,5,0,2,0,1,0,0
"Dec 08, 2021",IND vs. NYK,W,4,2,3,0,0,0,1
"Nov 29, 2021",IND @ MIN,L,6,1,2,0,0,1,0
"Nov 28, 2021",IND vs. MIL,L,5,0,1,0,0,0,0
"Nov 22, 2021",IND @ CHI,W,7,0,5,0,0,0,1
"Nov 20, 2021",IND vs. NOP,W,16,3,3,1,0,3,0
"Nov 19, 2021",IND @ CHA,L,22,11,4,0,2,1,0
"Nov 17, 2021",IND @ DET,L,4,0,1,0,0,0,0
"Nov 15, 2021",IND @ NYK,L,16,5,2,0,1,3,0
"Nov 11, 2021",IND @ UTA,W,6,2,2,0,2,0,1
"Nov 07, 2021",IND @ SAC,W,3,0,0,0,0,0,0
"Nov 05, 2021",IND @ POR,L,4,4,1,0,0,0,0
"Nov 03, 2021",IND vs. NYK,W,10,8,3,0,1,0,0
"Nov 01, 2021",IND vs. SAS,W,9,0,0,0,1,0,0
"Oct 30, 2021",IND vs. TOR,L,10,0,2,1,0,2,1
"Oct 29, 2021",IND @ BKN,L,1,0,0,0,0,0,0
"Oct 27, 2021",IND @ TOR,L,2,2,2,0,0,0,0
"Oct 25, 2021",IND vs. MIL,L,18,7,9,1,2,0,2
