GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",BOS @ MEM,W,20,8,4,3,0,0,0
"Apr 07, 2022",BOS @ MIL,L,39,19,7,3,0,0,3
"Apr 06, 2022",BOS @ CHI,W,23,10,1,3,0,0,1
"Apr 03, 2022",BOS vs. WAS,W,24,17,5,3,0,0,0
"Apr 01, 2022",BOS vs. IND,W,30,13,2,3,0,1,2
"Mar 30, 2022",BOS vs. MIA,L,32,9,2,3,1,0,2
"Mar 28, 2022",BOS @ TOR,L,41,15,6,8,0,1,3
"Mar 27, 2022",BOS vs. MIN,W,30,15,2,6,1,0,4
"Mar 23, 2022",BOS vs. UTA,W,31,10,3,5,0,0,0
"Mar 21, 2022",BOS @ OKC,W,34,18,5,5,0,1,0
"Mar 20, 2022",BOS @ DEN,W,23,6,1,3,0,0,0
"Mar 18, 2022",BOS @ SAC,W,31,7,2,5,1,0,3
"Mar 16, 2022",BOS @ GSW,W,22,0,4,4,1,0,1
"Mar 13, 2022",BOS vs. DAL,L,22,5,4,1,0,0,1
"Mar 11, 2022",BOS vs. DET,W,24,11,4,1,1,1,1
"Mar 09, 2022",BOS @ CHA,W,32,11,3,8,2,3,0
"Mar 06, 2022",BOS vs. BKN,W,20,6,3,0,0,0,0
"Mar 03, 2022",BOS vs. MEM,W,26,12,4,2,0,1,1
"Mar 01, 2022",BOS vs. ATL,W,28,18,2,5,0,0,1
"Feb 27, 2022",BOS @ IND,L,22,11,1,0,1,3,0
"Feb 26, 2022",BOS @ DET,W,20,3,1,3,0,1,3
"Feb 24, 2022",BOS @ BKN,W,20,13,5,3,0,0,0
"Feb 16, 2022",BOS vs. DET,L,36,9,6,6,3,2,2
"Feb 15, 2022",BOS @ PHI,W,28,11,1,2,1,1,1
"Feb 13, 2022",BOS vs. ATL,W,29,14,4,5,2,1,1
"Feb 11, 2022",BOS vs. DEN,W,28,15,6,2,1,0,2
"Feb 09, 2022",SAS @ CLE,L,32,17,4,3,2,1,1
"Feb 04, 2022",SAS vs. HOU,W,29,12,3,7,0,1,1
"Feb 03, 2022",SAS vs. MIA,L,22,22,4,2,0,0,6
"Feb 01, 2022",SAS vs. GSW,L,35,16,3,7,0,0,3
"Jan 28, 2022",SAS vs. CHI,W,33,14,4,9,0,0,1
"Jan 26, 2022",SAS vs. MEM,L,34,14,3,5,1,1,3
"Jan 25, 2022",SAS @ HOU,W,23,5,2,6,0,0,1
"Jan 23, 2022",SAS vs. PHI,L,33,10,7,9,1,0,1
"Jan 21, 2022",SAS vs. BKN,L,34,17,6,7,0,0,3
"Jan 19, 2022",SAS vs. OKC,W,27,11,3,6,0,2,2
"Jan 17, 2022",SAS vs. PHX,L,30,14,0,7,0,0,1
"Jan 15, 2022",SAS vs. LAC,W,25,19,4,4,1,3,3
"Jan 05, 2022",SAS @ BOS,W,31,17,4,2,0,2,3
"Jan 04, 2022",SAS @ TOR,L,22,12,4,3,2,1,2
"Jan 01, 2022",SAS @ DET,L,42,18,3,14,1,1,4
"Dec 31, 2021",SAS @ MEM,L,24,15,0,9,0,2,0
"Dec 27, 2021",SAS vs. UTA,L,35,21,2,8,3,1,3
"Dec 26, 2021",SAS vs. DET,W,16,7,3,10,1,0,2
"Dec 23, 2021",SAS @ LAL,W,30,23,3,7,1,2,2
"Dec 20, 2021",SAS @ LAC,W,30,15,4,4,1,0,4
"Dec 19, 2021",SAS @ SAC,L,25,5,1,2,1,1,1
"Dec 17, 2021",SAS @ UTA,W,33,22,2,3,2,0,0
"Dec 15, 2021",SAS vs. CHA,L,31,18,6,7,0,0,2
"Dec 12, 2021",SAS vs. NOP,W,34,24,8,9,4,1,2
"Dec 11, 2021",SAS vs. DEN,L,22,10,2,3,1,0,2
"Dec 09, 2021",SAS vs. DEN,W,35,23,6,4,1,2,1
"Dec 07, 2021",SAS vs. NYK,L,34,26,6,7,0,0,3
"Dec 06, 2021",SAS @ PHX,L,26,12,3,4,0,1,0
"Dec 04, 2021",SAS @ GSW,W,36,25,1,3,3,0,1
"Dec 02, 2021",SAS @ POR,W,30,12,7,5,1,1,0
"Nov 29, 2021",SAS vs. WAS,W,33,24,5,5,1,1,1
"Nov 26, 2021",SAS vs. BOS,W,37,17,8,7,0,2,2
"Nov 24, 2021",SAS vs. ATL,L,30,7,2,3,2,2,2
"Nov 22, 2021",SAS vs. PHX,L,40,19,4,4,2,2,0
"Nov 18, 2021",SAS @ MIN,L,23,4,2,4,1,0,0
"Nov 16, 2021",SAS @ LAC,L,32,19,3,3,1,0,3
"Nov 14, 2021",SAS @ LAL,L,29,10,3,5,2,0,2
"Nov 12, 2021",SAS vs. DAL,L,22,5,0,5,0,1,2
"Nov 10, 2021",SAS vs. SAC,W,30,2,4,6,2,1,1
"Nov 07, 2021",SAS @ OKC,L,27,0,3,5,1,1,0
"Nov 05, 2021",SAS @ ORL,W,33,12,10,4,0,1,2
"Nov 03, 2021",SAS vs. DAL,L,36,19,3,3,1,1,3
"Nov 01, 2021",SAS @ IND,L,27,13,2,7,0,0,0
"Oct 30, 2021",SAS @ MIL,W,33,17,2,4,0,1,1
"Oct 28, 2021",SAS @ DAL,L,33,9,1,7,1,2,3
"Oct 26, 2021",SAS vs. LAL,L,32,7,5,6,1,1,3
"Oct 23, 2021",SAS vs. MIL,L,31,14,2,8,4,1,2
"Oct 22, 2021",SAS @ DEN,L,37,16,2,8,2,2,2
"Oct 20, 2021",SAS vs. ORL,W,30,16,4,4,1,0,0
