GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 05, 2022",CHI vs. MIL,L,22,0,3,8,0,0,0
"Apr 02, 2022",CHI vs. MIA,L,22,0,3,4,1,0,1
"Mar 31, 2022",CHI vs. LAC,W,33,7,3,7,0,0,0
"Mar 29, 2022",CHI @ WAS,W,28,2,3,4,3,0,1
"Mar 28, 2022",CHI @ NYK,L,30,3,5,2,2,1,1
"Mar 26, 2022",CHI @ CLE,W,38,10,8,7,2,0,0
"Mar 24, 2022",CHI @ NOP,L,28,11,1,2,1,0,3
"Mar 22, 2022",CHI @ MIL,L,30,3,5,6,1,0,2
"Mar 21, 2022",CHI vs. TOR,W,33,7,2,6,1,0,0
"Mar 18, 2022",CHI @ PHX,L,25,8,3,3,1,0,1
"Mar 16, 2022",CHI @ UTA,L,25,2,2,1,1,1,3
"Mar 14, 2022",CHI @ SAC,L,27,6,1,2,0,1,4
"Mar 12, 2022",CHI vs. CLE,W,29,11,1,4,4,1,1
"Jan 21, 2022",CHI @ MIL,L,24,7,8,4,1,1,0
"Jan 19, 2022",CHI vs. CLE,W,23,9,3,2,0,1,1
"Dec 20, 2021",CHI vs. HOU,W,6,0,1,2,0,0,0
"Dec 19, 2021",CHI vs. LAL,W,38,17,9,2,1,0,3
"Dec 11, 2021",CHI @ MIA,L,27,6,1,5,1,0,2
"Dec 04, 2021",CHI @ BKN,W,8,6,1,0,1,0,0
"Dec 02, 2021",CHI @ NYK,W,31,6,6,6,4,0,4
"Nov 29, 2021",CHI vs. CHA,W,25,14,3,7,0,1,3
"Nov 27, 2021",CHI vs. MIA,L,34,22,3,6,1,0,2
"Nov 26, 2021",CHI @ ORL,W,25,4,5,3,4,0,0
"Nov 24, 2021",CHI @ HOU,L,33,15,4,2,3,0,0
"Nov 21, 2021",CHI vs. NYK,W,30,7,4,4,0,0,0
"Nov 19, 2021",CHI @ DEN,W,34,4,4,2,1,1,0
"Nov 17, 2021",CHI @ POR,L,38,12,10,9,2,2,1
"Nov 15, 2021",CHI @ LAL,W,34,0,6,5,2,0,1
"Nov 14, 2021",CHI @ LAC,W,39,7,9,5,3,1,1
"Nov 12, 2021",CHI @ GSW,L,25,4,3,5,1,0,1
"Nov 10, 2021",CHI vs. DAL,W,23,16,2,1,6,0,2
"Nov 08, 2021",CHI vs. BKN,W,24,5,4,2,2,0,2
"Nov 06, 2021",CHI vs. PHI,L,32,9,3,4,1,0,2
"Nov 03, 2021",CHI @ PHI,L,32,6,3,6,2,0,0
"Nov 01, 2021",CHI @ BOS,W,23,9,3,6,2,1,3
"Oct 30, 2021",CHI vs. UTA,W,25,7,4,3,1,0,4
"Oct 28, 2021",CHI vs. NYK,L,33,10,1,6,2,0,0
"Oct 25, 2021",CHI @ TOR,W,28,8,2,2,4,0,4
"Oct 23, 2021",CHI vs. DET,W,27,12,0,4,5,1,2
"Oct 22, 2021",CHI vs. NOP,W,29,9,3,3,0,0,0
"Oct 20, 2021",CHI @ DET,W,27,3,3,3,4,2,2
