GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 03, 2022",OKC vs. PHX,W,26,17,6,4,0,0,1
"Apr 01, 2022",OKC vs. DET,L,25,7,3,1,0,0,3
"Mar 30, 2022",OKC vs. ATL,L,34,13,4,3,0,0,3
"Mar 28, 2022",OKC @ POR,W,40,28,5,6,0,0,4
"Mar 26, 2022",OKC @ DEN,L,30,10,2,3,0,1,1
"Mar 23, 2022",OKC vs. ORL,W,22,8,2,0,0,0,0
"Mar 21, 2022",OKC vs. BOS,L,24,8,4,1,1,0,3
"Mar 20, 2022",OKC @ ORL,L,27,2,4,3,1,0,1
"Mar 18, 2022",OKC @ MIA,L,29,17,1,1,0,0,1
"Mar 16, 2022",OKC @ SAS,L,26,2,2,1,0,0,2
"Mar 09, 2022",OKC @ MIN,L,39,25,9,5,1,0,3
"Mar 08, 2022",OKC vs. MIL,L,30,8,5,0,0,0,1
"Mar 06, 2022",OKC vs. UTA,L,35,11,4,2,2,0,1
"Feb 28, 2022",OKC vs. SAC,L,9,3,1,0,0,0,1
"Feb 25, 2022",OKC @ IND,W,31,8,4,0,0,0,0
"Feb 24, 2022",OKC vs. PHX,L,21,6,7,0,1,1,2
"Feb 16, 2022",OKC vs. SAS,L,30,7,1,1,0,2,0
"Feb 14, 2022",OKC @ NYK,W,34,2,3,3,1,0,0
"Feb 12, 2022",OKC @ CHI,L,19,5,2,1,0,0,0
"Feb 02, 2022",OKC @ DAL,W,24,8,4,1,0,0,1
"Jan 31, 2022",OKC vs. POR,W,28,7,8,2,0,0,0
"Jan 24, 2022",OKC vs. CHI,L,16,5,1,0,0,0,0
"Jan 22, 2022",OKC @ CLE,L,22,11,2,0,2,0,2
"Jan 21, 2022",OKC @ CHA,L,27,5,6,1,2,0,1
"Jan 19, 2022",OKC @ SAS,L,35,19,8,1,1,1,3
"Jan 17, 2022",OKC @ DAL,L,31,8,5,0,2,0,1
"Jan 15, 2022",OKC vs. CLE,L,10,0,0,1,0,0,1
"Jan 13, 2022",OKC @ BKN,W,27,9,6,2,1,0,1
"Jan 11, 2022",OKC @ WAS,L,18,2,6,0,1,0,1
"Jan 09, 2022",OKC vs. DEN,L,19,8,1,3,1,1,0
"Jan 07, 2022",OKC vs. MIN,L,26,13,7,4,2,0,1
"Jan 05, 2022",OKC @ MIN,L,37,11,3,1,1,0,0
"Jan 02, 2022",OKC vs. DAL,L,37,10,6,0,1,0,2
"Dec 31, 2021",OKC vs. NYK,W,26,13,4,1,1,1,0
"Dec 29, 2021",OKC @ PHX,L,39,22,8,1,2,0,2
"Dec 28, 2021",OKC @ SAC,L,26,14,5,0,1,1,0
"Dec 26, 2021",OKC vs. NOP,W,32,24,6,1,0,0,2
"Dec 23, 2021",OKC @ PHX,L,23,5,3,2,1,0,1
"Dec 20, 2021",OKC @ MEM,W,6,0,1,1,0,0,0
"Dec 18, 2021",OKC vs. LAC,W,18,5,3,1,0,1,0
"Dec 15, 2021",OKC vs. NOP,L,23,4,2,0,1,0,1
"Dec 01, 2021",OKC vs. HOU,L,10,0,1,0,0,0,0
"Nov 29, 2021",OKC @ HOU,L,11,5,2,1,0,0,0
"Nov 24, 2021",OKC vs. UTA,L,26,1,3,1,1,0,1
"Nov 22, 2021",OKC @ ATL,L,18,3,0,1,0,0,1
"Nov 20, 2021",OKC @ BOS,L,10,6,1,1,0,0,0
"Nov 19, 2021",OKC @ MIL,L,14,2,1,2,0,0,0
"Nov 17, 2021",OKC vs. HOU,W,0,0,0,0,0,0,0
"Nov 15, 2021",OKC vs. MIA,L,20,6,2,0,1,0,4
"Nov 14, 2021",OKC vs. BKN,L,21,3,4,4,1,1,1
