GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",BOS @ MEM,W,23,18,3,4,0,0,3
"Apr 07, 2022",BOS @ MIL,L,37,22,10,11,1,1,4
"Apr 06, 2022",BOS @ CHI,W,35,25,7,4,4,1,1
"Apr 03, 2022",BOS vs. WAS,W,29,32,7,5,2,0,0
"Apr 01, 2022",BOS vs. IND,W,35,32,3,7,2,0,5
"Mar 30, 2022",BOS vs. MIA,L,37,28,10,6,0,0,3
"Mar 27, 2022",BOS vs. MIN,W,35,31,10,2,0,0,1
"Mar 23, 2022",BOS vs. UTA,W,32,26,3,5,0,0,2
"Mar 21, 2022",BOS @ OKC,W,39,25,3,1,2,0,2
"Mar 20, 2022",BOS @ DEN,W,34,30,6,0,1,0,1
"Mar 18, 2022",BOS @ SAC,W,28,30,3,0,2,0,2
"Mar 16, 2022",BOS @ GSW,W,35,26,7,3,0,0,2
"Mar 13, 2022",BOS vs. DAL,L,35,14,5,4,1,0,3
"Mar 11, 2022",BOS vs. DET,W,34,22,8,4,1,0,3
"Mar 09, 2022",BOS @ CHA,W,36,15,5,5,0,0,4
"Mar 06, 2022",BOS vs. BKN,W,35,21,4,5,3,0,1
"Mar 01, 2022",BOS vs. ATL,W,3,2,1,1,0,0,2
"Feb 27, 2022",BOS @ IND,L,35,23,4,8,1,0,2
"Feb 26, 2022",BOS @ DET,W,36,27,3,0,0,0,3
"Feb 24, 2022",BOS @ BKN,W,30,18,1,6,1,1,1
"Feb 16, 2022",BOS vs. DET,L,38,31,2,6,1,0,2
"Feb 15, 2022",BOS @ PHI,W,29,29,8,3,0,0,2
"Feb 13, 2022",BOS vs. ATL,W,38,17,9,3,1,0,4
"Feb 11, 2022",BOS vs. DEN,W,39,12,7,4,2,0,2
"Feb 08, 2022",BOS @ BKN,W,28,22,7,9,0,0,3
"Feb 06, 2022",BOS @ ORL,W,29,26,5,3,3,0,2
"Feb 04, 2022",BOS @ DET,W,34,13,7,2,0,1,3
"Feb 02, 2022",BOS vs. CHA,W,38,15,6,6,1,0,7
"Jan 31, 2022",BOS vs. MIA,W,32,29,4,2,2,0,0
"Jan 29, 2022",BOS @ NOP,W,35,31,2,3,1,0,1
"Jan 28, 2022",BOS @ ATL,L,35,26,12,3,0,0,7
"Jan 25, 2022",BOS vs. SAC,W,24,30,10,3,0,0,0
"Jan 23, 2022",BOS @ WAS,W,31,18,10,1,1,0,2
"Jan 21, 2022",BOS vs. POR,L,35,22,5,5,0,0,1
"Jan 19, 2022",BOS vs. CHA,L,38,21,6,6,2,0,3
"Jan 17, 2022",BOS vs. NOP,W,35,23,8,2,0,0,2
"Jan 15, 2022",BOS vs. CHI,W,36,19,7,4,4,0,1
"Jan 14, 2022",BOS @ PHI,L,32,21,2,1,0,0,5
"Jan 12, 2022",BOS @ IND,W,35,34,5,3,0,0,3
"Jan 10, 2022",BOS vs. IND,W,44,26,15,6,0,1,0
"Jan 08, 2022",BOS vs. NYK,W,35,22,11,11,2,0,3
"Jan 06, 2022",BOS @ NYK,L,34,16,7,1,0,0,3
"Jan 05, 2022",BOS vs. SAS,L,35,30,6,1,2,1,3
"Jan 02, 2022",BOS vs. ORL,W,46,50,11,4,1,2,7
"Dec 31, 2021",BOS vs. PHX,W,36,24,11,3,0,0,6
"Dec 29, 2021",BOS vs. LAC,L,40,30,8,0,2,0,3
"Dec 27, 2021",BOS @ MIN,L,39,26,10,4,0,1,6
"Dec 25, 2021",BOS @ MIL,L,37,25,4,3,2,1,3
"Dec 22, 2021",BOS vs. CLE,W,36,34,6,3,1,1,3
"Dec 20, 2021",BOS vs. PHI,L,34,30,5,4,2,0,3
"Dec 18, 2021",BOS vs. NYK,W,32,23,4,5,2,0,4
"Dec 17, 2021",BOS vs. GSW,L,33,20,9,2,1,0,5
"Dec 13, 2021",BOS vs. MIL,W,30,19,4,5,2,1,3
"Dec 01, 2021",BOS vs. PHI,W,33,9,4,3,0,0,1
"Nov 28, 2021",BOS @ TOR,W,27,16,3,3,1,0,2
"Nov 26, 2021",BOS @ SAS,L,27,16,4,3,0,1,1
"Nov 24, 2021",BOS vs. BKN,L,24,13,5,0,2,0,2
"Nov 22, 2021",BOS vs. HOU,W,23,19,3,0,1,1,2
"Nov 04, 2021",BOS @ MIA,W,29,17,5,2,1,1,2
"Nov 03, 2021",BOS @ ORL,W,32,28,5,3,1,0,2
"Nov 01, 2021",BOS vs. CHI,L,34,28,7,3,1,0,1
"Oct 30, 2021",BOS @ WAS,L,47,34,6,2,1,1,3
"Oct 27, 2021",BOS vs. WAS,L,37,13,4,1,0,0,3
"Oct 25, 2021",BOS @ CHA,W,38,30,9,3,3,1,3
"Oct 22, 2021",BOS vs. TOR,L,28,9,4,0,0,0,5
"Oct 20, 2021",BOS @ NYK,L,46,46,9,6,3,1,4
