GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",MEM vs. BOS,L,35,5,4,2,2,0,1
"Apr 09, 2022",MEM vs. NOP,W,8,3,0,1,1,0,0
"Apr 07, 2022",MEM @ DEN,L,9,5,1,2,0,0,1
"Apr 05, 2022",MEM @ UTA,L,11,5,3,2,0,0,0
"Apr 01, 2022",MEM vs. PHX,W,28,13,6,7,1,0,0
"Mar 28, 2022",MEM vs. GSW,W,25,5,9,3,1,0,1
"Mar 26, 2022",MEM vs. MIL,W,22,8,11,3,0,0,2
"Mar 24, 2022",MEM vs. IND,W,24,16,5,0,1,1,1
"Mar 20, 2022",MEM @ HOU,W,4,0,3,0,1,0,0
"Mar 18, 2022",MEM @ ATL,L,3,4,1,2,1,0,0
"Mar 15, 2022",MEM @ IND,W,7,5,0,0,0,0,1
"Mar 08, 2022",MEM vs. NOP,W,7,2,0,0,0,0,0
"Mar 05, 2022",MEM vs. ORL,W,5,5,2,0,0,0,1
"Feb 28, 2022",MEM vs. SAS,W,1,0,0,0,0,0,0
"Feb 05, 2022",MEM @ ORL,W,3,5,2,0,0,0,0
"Jan 29, 2022",MEM vs. WAS,W,2,0,0,0,0,0,0
"Jan 23, 2022",MEM @ DAL,L,16,6,3,0,1,0,3
"Jan 21, 2022",MEM @ DEN,W,10,2,3,2,1,0,0
"Jan 19, 2022",MEM @ MIL,L,6,2,1,1,0,0,0
"Jan 17, 2022",MEM vs. CHI,W,4,0,0,0,0,0,1
"Jan 14, 2022",MEM vs. DAL,L,5,2,1,0,0,0,0
"Jan 13, 2022",MEM vs. MIN,W,15,6,2,0,2,0,0
"Jan 11, 2022",MEM vs. GSW,W,16,2,6,1,1,0,0
"Jan 09, 2022",MEM @ LAL,W,19,9,4,0,0,0,1
"Dec 29, 2021",MEM vs. LAL,W,12,6,0,0,2,1,0
"Dec 27, 2021",MEM @ PHX,W,5,0,0,1,2,0,2
"Dec 26, 2021",MEM @ SAC,W,8,0,2,1,2,0,0
"Dec 23, 2021",MEM @ GSW,L,20,8,8,0,1,2,0
"Dec 20, 2021",MEM vs. OKC,L,20,8,2,0,1,0,1
"Dec 19, 2021",MEM vs. POR,L,12,2,5,0,1,1,1
"Dec 17, 2021",MEM @ SAC,W,16,2,7,3,1,0,2
"Dec 15, 2021",MEM @ POR,W,15,10,0,1,2,0,0
"Dec 13, 2021",MEM vs. PHI,W,19,8,5,3,1,1,1
"Dec 11, 2021",MEM vs. HOU,W,23,9,6,1,0,2,1
"Dec 09, 2021",MEM vs. LAL,W,18,5,3,1,4,0,0
"Dec 08, 2021",MEM vs. DAL,L,10,5,4,2,0,0,2
"Dec 06, 2021",MEM @ MIA,W,13,7,5,0,0,1,0
"Dec 04, 2021",MEM @ DAL,W,21,4,4,2,2,2,4
"Dec 02, 2021",MEM vs. OKC,W,25,11,3,4,2,2,0
"Nov 28, 2021",MEM vs. SAC,W,9,2,0,1,0,0,1
"Nov 26, 2021",MEM vs. ATL,L,12,7,3,3,0,0,0
"Nov 20, 2021",MEM @ MIN,L,19,8,4,1,2,1,0
"Nov 18, 2021",MEM vs. LAC,W,2,2,0,0,0,0,0
"Nov 15, 2021",MEM vs. HOU,W,9,4,3,2,0,0,0
"Nov 12, 2021",MEM vs. PHX,L,8,2,4,1,0,0,1
"Nov 08, 2021",MEM vs. MIN,W,15,0,4,1,2,0,0
"Nov 05, 2021",MEM @ WAS,L,13,6,0,2,1,0,0
"Nov 03, 2021",MEM vs. DEN,W,7,0,1,1,1,0,1
"Nov 01, 2021",MEM vs. DEN,W,17,12,5,0,1,0,2
"Oct 30, 2021",MEM vs. MIA,L,16,0,5,1,3,0,0
"Oct 28, 2021",MEM @ GSW,W,22,4,4,3,1,0,0
"Oct 27, 2021",MEM @ POR,L,7,3,0,0,1,1,2
"Oct 24, 2021",MEM @ LAL,L,22,7,7,1,3,0,0
