GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 04, 2023",ORL vs. CLE,L,38,20,10,4,1,0,5
"Apr 02, 2023",ORL vs. DET,W,29,14,9,3,0,0,4
"Mar 31, 2023",ORL @ WAS,W,34,30,12,6,0,3,2
"Mar 28, 2023",ORL @ MEM,L,29,24,11,5,0,1,4
"Mar 26, 2023",ORL vs. BKN,W,29,11,9,4,0,0,2
"Mar 23, 2023",ORL vs. NYK,W,34,21,6,4,2,2,3
"Mar 21, 2023",ORL vs. WAS,W,37,18,9,8,1,0,2
"Mar 19, 2023",ORL @ LAL,L,36,21,6,3,0,0,1
"Mar 18, 2023",ORL @ LAC,W,36,12,6,6,1,1,4
"Mar 16, 2023",ORL @ PHX,L,34,18,8,3,2,0,5
"Mar 14, 2023",ORL @ SAS,L,32,27,6,0,0,1,3
"Mar 11, 2023",ORL vs. MIA,W,43,17,10,9,0,0,3
"Mar 09, 2023",ORL vs. UTA,L,34,26,8,2,0,1,2
"Mar 07, 2023",ORL vs. MIL,L,33,20,4,3,0,0,3
"Mar 05, 2023",ORL vs. POR,L,33,26,5,2,1,1,3
"Mar 03, 2023",ORL @ CHA,W,36,31,6,5,1,1,3
"Mar 01, 2023",ORL @ MIL,L,31,9,7,5,0,2,4
"Feb 27, 2023",ORL @ NOP,W,34,29,8,4,1,0,2
"Feb 25, 2023",ORL vs. IND,L,33,19,6,0,1,1,2
"Feb 23, 2023",ORL vs. DET,W,32,11,6,6,0,0,2
"Feb 14, 2023",ORL @ TOR,L,32,13,1,3,0,0,3
"Feb 13, 2023",ORL @ CHI,W,35,22,4,3,0,3,2
"Feb 11, 2023",ORL vs. MIA,L,34,16,13,1,0,0,3
"Feb 09, 2023",ORL vs. DEN,W,33,11,10,2,0,0,2
"Feb 07, 2023",ORL vs. NYK,L,34,16,8,5,1,0,1
"Feb 05, 2023",ORL @ CHA,W,35,22,10,5,1,0,1
"Feb 03, 2023",ORL @ MIN,W,33,11,8,4,1,0,4
"Feb 01, 2023",ORL @ PHI,L,36,13,9,3,1,1,1
"Jan 30, 2023",ORL @ PHI,W,37,29,9,3,1,1,2
"Jan 28, 2023",ORL vs. CHI,L,25,9,7,3,1,0,1
"Jan 27, 2023",ORL @ MIA,L,36,19,5,1,1,0,5
"Jan 25, 2023",ORL vs. IND,W,36,23,3,4,2,1,4
"Jan 23, 2023",ORL vs. BOS,W,36,23,5,2,0,0,1
"Jan 21, 2023",ORL @ WAS,L,28,15,1,4,0,0,0
"Jan 20, 2023",ORL vs. NOP,W,25,11,6,2,1,0,3
"Jan 15, 2023",ORL @ DEN,L,33,18,2,4,1,1,2
"Jan 13, 2023",ORL @ UTA,L,31,19,4,3,2,0,4
"Jan 10, 2023",ORL @ POR,W,38,19,10,2,3,1,5
"Jan 09, 2023",ORL @ SAC,L,32,17,8,4,3,0,1
"Jan 07, 2023",ORL @ GSW,W,31,25,5,3,1,0,2
"Jan 05, 2023",ORL vs. MEM,L,36,30,9,3,1,0,1
"Jan 04, 2023",ORL vs. OKC,W,36,25,8,7,1,0,3
"Dec 30, 2022",ORL vs. WAS,L,38,21,5,4,0,0,5
"Dec 28, 2022",ORL @ DET,L,32,15,5,2,1,1,2
"Dec 27, 2022",ORL vs. LAL,L,22,4,5,3,1,0,2
"Dec 23, 2022",ORL vs. SAS,W,29,18,6,4,0,0,2
"Dec 21, 2022",ORL @ HOU,W,32,23,13,3,2,0,5
"Dec 19, 2022",ORL @ ATL,L,35,18,4,7,1,2,3
"Dec 18, 2022",ORL @ BOS,W,34,31,6,3,2,0,4
"Dec 16, 2022",ORL @ BOS,W,37,20,5,5,1,0,3
"Dec 14, 2022",ORL vs. ATL,W,34,20,6,6,2,1,2
"Dec 11, 2022",ORL vs. TOR,W,37,20,12,5,1,1,4
"Dec 09, 2022",ORL vs. TOR,W,38,23,6,4,0,1,3
"Dec 07, 2022",ORL vs. LAC,W,38,23,5,2,2,0,2
"Dec 05, 2022",ORL vs. MIL,L,33,20,12,7,1,1,4
"Dec 03, 2022",ORL @ TOR,L,27,9,3,3,1,0,2
"Dec 02, 2022",ORL @ CLE,L,37,22,5,4,1,0,2
"Nov 30, 2022",ORL vs. ATL,L,35,20,2,5,0,0,3
"Nov 28, 2022",ORL @ BKN,L,39,24,4,5,2,0,5
"Nov 27, 2022",ORL vs. PHI,L,31,18,1,1,0,0,0
"Nov 25, 2022",ORL vs. PHI,L,36,19,4,3,1,0,4
"Nov 07, 2022",ORL vs. HOU,L,35,30,6,4,2,0,5
"Nov 05, 2022",ORL vs. SAC,L,40,33,16,4,0,1,1
"Nov 03, 2022",ORL vs. GSW,W,36,22,8,3,1,1,5
"Nov 01, 2022",ORL @ OKC,L,37,15,8,2,1,0,4
"Oct 30, 2022",ORL @ DAL,L,32,18,3,4,0,0,2
"Oct 28, 2022",ORL vs. CHA,W,27,21,12,7,0,0,2
"Oct 26, 2022",ORL @ CLE,L,37,29,8,4,1,2,3
"Oct 24, 2022",ORL @ NYK,L,34,21,4,2,2,0,1
"Oct 22, 2022",ORL vs. BOS,L,33,23,5,3,0,1,2
"Oct 21, 2022",ORL @ ATL,L,34,20,12,2,1,3,4
"Oct 19, 2022",ORL @ DET,L,35,27,9,5,0,2,4
